timestamp,isInUse,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1709341396841,0,-1.00293,-0.05297852,-0.06811523,-2.374046,0.351145,-1.183206
1709341398952,0,-0.9963379,-0.0559082,-0.05517578,-2.122137,0.1526718,-1.152672
1709341401071,0,-0.9985352,-0.05932617,-0.05493164,-2.206107,0.03816794,-1.068702
1709341403177,0,-1.00415,-0.05737305,-0.05883789,-2.458015,0.3358779,-1.091603
1709341405292,0,-1.00293,-0.06054688,-0.09082031,-2.374046,0.3435115,-1.061069
1709341407409,0,-1.002686,-0.05444336,-0.078125,-2.40458,0.129771,-1.053435
1709341409577,0,-0.9980469,-0.05371094,-0.0690918,-2.21374,0.09923664,-1.045802
1709341411721,0,-0.998291,-0.05517578,-0.0534668,-2.076336,0.1221374,-0.9083969
1709341413838,0,-1.002441,-0.04760742,-0.08081055,-2.351145,0.2137404,-1.167939
1709341415982,0,-1.004395,-0.04736328,-0.06860352,-2.335878,0.2977099,-1.091603
1709341418606,0,-1.002197,-0.05493164,-0.07958984,-2.244275,0.4427481,-1.10687
1709341420719,0,-1.000732,-0.05712891,-0.07348633,-2.412214,0.3358779,-1.045802
1709341422794,0,-0.9980469,-0.05786133,-0.05004883,-2.175573,0.1450382,-1.221374
1709341424909,0,-1.007568,-0.06469727,-0.06542969,-2.290076,0.2824428,-1.129771
1709341427118,0,-0.9902344,-0.05151367,-0.06323242,-2.167939,0.04580153,-1.10687
1709341429295,0,-1.001465,-0.05883789,-0.05224609,-2.274809,0.3664122,-1.015267
1709341431409,0,-1.003906,-0.05151367,-0.05615234,-2.251908,0.4198473,-1.061069
1709341433524,0,-0.9978027,-0.05371094,-0.05639648,-2.206107,-0.01526718,-1.221374
1709341435635,0,-0.9936523,-0.05419922,-0.05810547,-1.977099,0.07633588,-0.9770992
1709341437743,0,-1.004639,-0.05493164,-0.07348633,-2.21374,0.3358779,-0.9312977
1709341439831,0,-1.004395,-0.05273438,-0.06616211,-2.343511,0.389313,-1.045802
1709341441971,0,-1.003418,-0.046875,-0.05688477,-2.259542,0.2748091,-1.083969
1709341444115,0,-1.003662,-0.05297852,-0.06054688,-2.236641,0.2290076,-1.015267
1709341446773,0,-0.9934082,-0.05883789,-0.046875,-2.21374,-0.05343511,-1.167939
1709341448885,0,-0.9868164,-0.05151367,-0.05419922,-2.198473,0.08396947,-1.183206
1709341450996,0,-1.003418,-0.04711914,-0.07104492,-2.389313,0.1068702,-1.038168
1709341453099,0,-1.001953,-0.04760742,-0.08129883,-2.381679,-0.03816794,-1.206107
1709341455283,0,-0.9973145,-0.06298828,-0.05273438,-2.251908,-0.02290076,-0.9694656
1709341457401,0,-1.002686,-0.04931641,-0.0715332,-2.427481,0.2977099,-1.145038
1709341459483,0,-1.002686,-0.06396484,-0.06933594,-2.29771,0.3206107,-0.961832
