timestamp,isInUse,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1709321122180,0,-1.008057,-0.05151367,-0.06396484,-2.175573,0.1450382,-1.099237
1709321124726,0,-0.9997559,-0.05615234,-0.05566406,-2.114504,0.3282443,-1.007634
1709321126906,0,-0.996582,-0.05664063,-0.07177734,-2.068702,0.2671756,-1.198473
1709321129018,0,-1.007324,-0.05249023,-0.07373047,-2,0.1526718,-1.045802
1709321131130,0,-1.002686,-0.05541992,-0.07421875,-2.435115,0.129771,-1.045802
1709321133247,0,-1.00415,-0.05981445,-0.05957031,-2.221374,0.2977099,-0.9923664
1709321135355,0,-1.00293,-0.05419922,-0.0612793,-2.221374,0.2824428,-1.221374
1709321137477,0,-0.9956055,-0.05957031,-0.05249023,-2.21374,-0.007633588,-1.122137
1709321139580,0,-0.9929199,-0.05639648,-0.06445313,-2.167939,0.3358779,-1.083969
1709321141692,0,-1.004639,-0.05444336,-0.06176758,-2.29771,0.007633588,-1.045802
1709321143883,0,-1.002686,-0.05541992,-0.06494141,-2.229008,0.259542,-1.076336
1709321145979,0,-1.003418,-0.05444336,-0.06298828,-2.21374,0.3053435,-1.038168
1709321148154,0,-1.006592,-0.05395508,-0.07128906,-2.221374,0.05343511,-1.114504
1709321150269,0,-1.000244,-0.04956055,-0.06396484,-2.198473,0.2671756,-1.114504
1709321152384,0,-1.003418,-0.05566406,-0.05834961,-2.21374,0.1832061,-1.061069
1709321155008,0,-1.004883,-0.05273438,-0.06298828,-2.21374,0.1145038,-1.099237
1709321157117,0,-1.00708,-0.05053711,-0.0690918,-2.320611,0.07633588,-1.137405
1709321159358,0,-1.002686,-0.05273438,-0.07128906,-2.114504,0.2671756,-1.229008
1709321161472,0,-1.005371,-0.05444336,-0.05810547,-2.061069,0.129771,-1.022901
1709321163583,0,-1.004639,-0.05834961,-0.07446289,-2.267176,0.1221374,-1.229008
1709321165700,0,-0.9951172,-0.05175781,-0.06518555,-2.068702,0.1145038,-1.122137
1709321167809,0,-0.9960938,-0.04785156,-0.05688477,-2.129771,0.2213741,-1.10687
1709321169987,0,-1.003418,-0.0534668,-0.06835938,-2.160305,0.259542,-1.099237
1709321172113,0,-0.9985352,-0.05566406,-0.06079102,-2.152672,0.2290076,-1.274809
1709321174210,0,-1.003662,-0.05102539,-0.05932617,-2.259542,0.351145,-1.083969
1709321176330,0,-1.00293,-0.06005859,-0.06176758,-2.19084,0.3435115,-1.229008
1709321178438,0,-1.001465,-0.05444336,-0.05371094,-2.236641,0.1679389,-1.083969
1709321180548,0,-0.9953613,-0.05273438,-0.05639648,-2.21374,0.3740458,-1.129771
1709321183175,0,-0.998291,-0.05322266,-0.06616211,-2.137405,0.3282443,-1.152672
1709321185296,0,-1.000732,-0.06005859,-0.06884766,-2.129771,0.3358779,-1.083969
1709321187396,0,-1.007324,-0.05688477,-0.0637207,-2.152672,0.2290076,-1.206107
1709321189510,0,-1.001465,-0.05419922,-0.05737305,-2.259542,0.1450382,-1.015267
1709321191684,0,-0.9970703,-0.05224609,-0.05957031,-2.229008,0.08396947,-1.183206
1709321193864,0,-1.006592,-0.05322266,-0.06640625,-2.099237,0.1068702,-1.068702
1709321195976,0,-0.9987793,-0.05761719,-0.07177734,-2.236641,0.389313,-1.122137
1709321198087,0,-1.005371,-0.05761719,-0.06567383,-2.145038,0.389313,-1.137405
1709321200207,0,-1.000244,-0.05664063,-0.0612793,-2.137405,0.3587786,-1.061069
1709321202311,0,-1.004639,-0.05224609,-0.06347656,-2.183206,0.1526718,-1.129771
1709321204493,0,-1.003906,-0.05102539,-0.07104492,-2.236641,0.02290076,-1.129771
1709321206600,0,-1.000244,-0.04907227,-0.06860352,-2.305344,0.2442748,-1.175573
1709321208715,0,-1.002441,-0.05493164,-0.06420898,-2.29771,0.2824428,-1.122137
1709321211283,0,-1.006348,-0.05981445,-0.06420898,-2.19084,0.09160305,-1.19084
1709321213322,0,-1.003906,-0.05541992,-0.06298828,-2.236641,0.259542,-1.160305
1709321215376,0,-0.984375,-0.05688477,-0.05712891,-2.312977,0.2824428,-1.198473
1709321217421,0,-1.002441,-0.05566406,-0.07080078,-2.099237,0.1832061,-0.9694656
1709321219470,0,-0.9985352,-0.05322266,-0.06591797,-2.183206,0.2900764,-1.015267
1709321221517,0,-1.000732,-0.05688477,-0.05493164,-2.076336,0.2519084,-1.137405
1709321223565,0,-1.005859,-0.04394531,-0.06274414,-1.793893,0.1603053,-1.099237
1709321225615,0,-1.008789,-0.05249023,-0.07202148,-2.290076,0.5038168,-1.015267
1709321227663,0,-1.012695,-0.05322266,-0.05322266,-2.450382,0.09923664,-1.244275
1709321229714,0,-0.984375,-0.04931641,-0.06665039,-2.236641,0.1450382,-1.114504
1709321231761,0,-1.002441,-0.05078125,-0.07421875,-2.312977,0.3435115,-1.083969
1709321233805,0,-1.005371,-0.05639648,-0.06323242,-2.160305,0.2442748,-1.091603
1709321235856,0,-1.005859,-0.06567383,-0.05419922,-1.885496,0.870229,-1.145038
1709321238428,0,-1.001465,-0.05371094,-0.06396484,-2.160305,0.1984733,-1.312977
1709321240475,0,-0.9958496,-0.05419922,-0.05786133,-2.259542,0.351145,-1.10687
1709321242519,0,-1.006348,-0.05883789,-0.06225586,-1.885496,0.2213741,-0.9770992
1709321244565,0,-1.003906,-0.04980469,-0.06860352,-2.10687,0.1145038,-1.10687
1709321246610,0,-1.005127,-0.05908203,-0.06054688,-2.274809,0.3282443,-1.21374
1709321248660,0,-1.014893,-0.04516602,-0.07348633,-2.78626,0.03816794,-1.152672
1709321250708,0,-1.008545,-0.06689453,-0.04443359,-2.40458,0.2213741,-1.160305
1709321252753,0,-0.9916992,-0.05175781,-0.03808594,-2.473282,0.2290076,-1.152672
1709321254805,0,-0.986084,-0.05322266,-0.06665039,-2.832061,0.1984733,-0.9694656
1709321256892,0,-1.003174,-0.04101563,-0.05541992,-2.603053,0.3358779,-1.053435
1709321258908,0,-1.010742,-0.05444336,-0.09570313,-2.091603,0.5038168,-1.114504
1709321260948,0,-0.994873,-0.0378418,-0.005371094,-2.664122,0.007633588,-0.8931297
1709321262998,0,-0.994873,-0.05249023,-0.07568359,-2.19084,0.2748091,-1.091603
1709321265561,0,-0.9985352,-0.06640625,-0.04833984,-2.633588,-0.06870229,-1.198473
1709321267610,0,-0.9973145,-0.05786133,-0.05297852,-1.755725,0.3129771,-1.061069
1709321269674,0,-0.996582,-0.07226563,-0.09545898,-2.549618,0.5801527,-1.183206
1709321271704,0,-0.9987793,-0.05786133,-0.07470703,-2.564885,0.2824428,-1.053435
1709321273751,0,-1.008301,-0.05297852,-0.06201172,-2.48855,0.1832061,-1.083969
1709321275800,0,-1.007568,-0.05322266,-0.0793457,-2.381679,0.3740458,-1.007634
1709321277853,0,-0.996582,-0.05078125,-0.07666016,-2.450382,0.05343511,-1.083969
1709321279894,0,-1.003174,-0.04663086,-0.06347656,-2.290076,0.1221374,-1.030534
1709321281947,0,-1.00293,-0.06762695,-0.05200195,-2.183206,0.0610687,-1.053435
1709321283995,0,-1.003662,-0.05566406,-0.08642578,-2.244275,-0.2824428,-0.9770992
1709321286043,0,-1.010498,-0.05175781,-0.06347656,-2.328244,0.6717557,-1.091603
1709321288093,0,-1.000732,-0.04516602,-0.05908203,-2.091603,0.2824428,-1.122137
1709321290140,0,-0.9885254,-0.0637207,-0.05541992,-1.755725,0.2290076,-1.259542
1709321292705,0,-1.005859,-0.05566406,-0.05859375,-2.175573,0.06870229,-1.152672
1709321294748,0,-0.984375,-0.04956055,-0.08666992,-1.832061,0.2290076,-1.045802
1709321296796,0,-0.9936523,-0.05102539,-0.0715332,-2.458015,0.6335878,-1.007634
1709321298843,0,-1.001465,-0.05688477,-0.06030273,-2.305344,0.4732824,-1.038168
1709321300893,0,-1.006348,-0.04516602,-0.1108398,-2.320611,0.2977099,-1.038168
1709321302941,0,-0.984375,-0.06201172,-0.046875,-2.465649,-0.01526718,-1.198473
1709321304991,0,-1.006592,-0.06005859,-0.1032715,-2.091603,0.2977099,-1.053435
1709321307038,0,-0.9938965,-0.04833984,-0.07373047,-2.29771,-0.06870229,-1.10687
1709321309086,0,-1.00415,-0.06567383,-0.06567383,-1.801527,0.3206107,-1.061069
1709321311138,0,-1.000244,-0.04516602,-0.08300781,-1.900763,0.1832061,-1.114504
1709321313182,0,-0.9912109,-0.0534668,-0.05615234,-2.091603,0.03816794,-1.167939
1709321315241,0,-0.9938965,-0.05175781,-0.05395508,-2.412214,0.2290076,-1.099237
1709321317282,0,-1.011963,-0.05053711,-0.06982422,-2.389313,0.5038168,-1.251908
1709321319841,0,-1.007568,-0.06835938,-0.05688477,-2.259542,0.2061069,-1.053435
1709321321898,0,-0.9960938,-0.05639648,-0.07080078,-2.114504,0.129771,-1.091603
1709321323936,0,-1.007813,-0.05908203,-0.05517578,-2.038168,0.3053435,-1.114504
1709321325994,0,-0.9914551,-0.06054688,-0.05102539,-2.183206,0.5038168,-1.083969
1709321328034,0,-0.9916992,-0.06469727,-0.04663086,-2.274809,0.07633588,-1.167939
1709321330084,0,-0.9909668,-0.04931641,-0.046875,-2.358779,-0.1221374,-1.091603
1709321332131,0,-1.007568,-0.0534668,-0.07861328,-2.320611,0.1603053,-1.10687
1709321334246,0,-0.9907227,-0.06201172,-0.07714844,-2.343511,0,-1.091603
1709321336362,0,-1.000977,-0.04150391,-0.05029297,-2.015267,0.2290076,-0.9389313
1709321338468,0,-0.9865723,-0.06225586,-0.05541992,-2.183206,-0.08396947,-1.068702
1709321340582,0,-0.9995117,-0.05053711,-0.06445313,-2.244275,0.4198473,-0.9694656
1709321342692,0,-0.984375,-0.0690918,-0.06152344,-2.465649,0.1832061,-1.137405
1709321344810,0,-1.002441,-0.046875,-0.06054688,-2.114504,0.5877862,-0.9923664
1709321347431,0,-1.004883,-0.04882813,-0.05712891,-2.175573,0.3816794,-0.9389313
1709321349543,0,-1.003174,-0.05249023,-0.06542969,-2.007634,0.2442748,-1.251908
1709321351656,0,-0.9973145,-0.05541992,-0.08496094,-2.076336,0.0610687,-1.10687
1709321353769,0,-1.000732,-0.05810547,-0.078125,-2.328244,0.3358779,-1.198473
1709321355901,0,-1.004639,-0.05810547,-0.07080078,-2.045802,0.2671756,-1.083969
1709321357999,0,-1.00415,-0.05737305,-0.05102539,-2.152672,0.3129771,-1.122137
1709321360111,0,-1.000488,-0.06274414,-0.06787109,-1.938931,-0.02290076,-1.114504
1709321362219,0,-0.9829102,-0.05688477,-0.03393555,-2.824427,0.03816794,-1.229008
1709321364334,0,-1.000732,-0.06030273,-0.07885742,-1.954198,0.1526718,-0.961832
1709321366442,0,-1.002197,-0.05224609,-0.08178711,-2.419847,-0.07633588,-1.083969
1709321368619,0,-0.9973145,-0.06518555,-0.08813477,-1.763359,0.2290076,-1.19084
1709321370731,0,-1.00415,-0.05981445,-0.01269531,-1.992366,0.129771,-1.114504
1709321372846,0,-1.011719,-0.04980469,-0.1188965,-2.335878,0.3435115,-1.167939
1709321375468,0,-1.008545,-0.0546875,-0.06762695,-2.030534,0.01526718,-1.229008
1709321377584,0,-0.9963379,-0.05322266,-0.08227539,-1.80916,0.3358779,-1.114504
1709321379694,0,-1.001953,-0.05419922,-0.03173828,-2.137405,0.1145038,-1.015267
1709321381806,0,-0.9978027,-0.05395508,-0.07543945,-1.832061,0.5038168,-1
1709321383933,0,-1.00415,-0.04541016,-0.05737305,-2.244275,0.2442748,-1.038168
1709321386038,0,-1.003906,-0.04980469,-0.046875,-2.427481,0.2824428,-1.007634
1709321388141,0,-0.9973145,-0.04418945,-0.07885742,-2.770992,0.2900764,-0.9923664
1709321390265,0,-0.994873,-0.0456543,-0.05541992,-2.10687,0.4198473,-1.030534
1709321392367,0,-1.004395,-0.06274414,-0.0859375,-2.045802,0.1450382,-1.045802
1709321394489,0,-0.9992676,-0.05395508,-0.07421875,-1.984733,0.129771,-1.083969
1709321396597,0,-1.008301,-0.0534668,-0.08569336,-1.732824,0.1526718,-1.160305
1709321398705,0,-0.9985352,-0.04980469,-0.07055664,-1.938931,0.1755725,-1.198473
1709321400826,0,-0.9968262,-0.04394531,-0.09960938,-2.137405,0.5419847,-1.10687
1709321403451,0,-0.9992676,-0.04516602,-0.06225586,-2.175573,0.5267176,-1.076336
1709321405561,0,-0.9987793,-0.06689453,-0.07373047,-2.244275,0.3206107,-1.152672
1709321407668,0,-1.006104,-0.05078125,-0.0715332,-2.603053,0.2671756,-1.175573
1709321409789,0,-0.998291,-0.05932617,-0.08666992,-2.053435,0.2213741,-1
1709321411891,0,-0.9980469,-0.05273438,-0.06176758,-2.152672,0.3282443,-1.038168
1709321414031,0,-1.005615,-0.06347656,-0.07226563,-2.259542,0.1603053,-1
1709321416181,0,-1.007813,-0.05761719,-0.06933594,-1.992366,0.2137404,-0.8167939
